"Time","Platinum Fixing (Evening) International  - 
  - $/oz"
"20170123",981.0000
"20170120",963.0000
"20170119",956.0000
"20170118",968.0000
"20170117",988.0000
"20170116",984.0000
"20170113",971.0000
"20170112",981.0000
"20170111",977.0000
"20170110",973.0000
"20170109",976.0000
"20170106",959.0000
"20170105",967.0000
"20170104",948.0000
"20170103",929.0000
"20161229",898.0000
"20161228",899.0000
"20161222",906.0000
"20161221",912.0000
"20161220",908.0000
"20161219",925.0000
"20161216",904.0000
"20161215",914.0000
"20161214",942.0000
"20161213",934.0000
"20161212",923.0000
"20161209",925.0000
"20161208",940.0000
"20161207",944.0000
"20161206",941.0000
"20161205",930.0000
"20161202",918.0000
"20161201",906.0000
"20161130",920.0000
"20161129",917.0000
"20161128",911.0000
"20161125",906.0000
"20161124",914.0000
"20161123",923.0000
"20161122",940.0000
"20161121",929.0000
"20161118",923.0000
"20161117",935.0000
"20161116",937.0000
"20161115",933.0000
"20161114",936.0000
"20161111",974.0000
"20161110",984.0000
"20161109",1014.0000
"20161108",1003.0000
"20161107",995.0000
"20161104",1003.0000
"20161103",986.0000
"20161102",994.0000
"20161101",995.0000
"20161031",976.0000
"20161028",972.0000
"20161027",970.0000
"20161026",961.0000
"20161025",958.0000
"20161024",947.0000
"20161021",927.0000
"20161020",935.0000
"20161019",942.0000
"20161018",940.0000
"20161017",932.0000
"20161014",933.0000
"20161013",935.0000
"20161012",947.0000
"20161011",958.0000
"20161010",967.0000
"20161007",975.0000
"20161006",973.0000
"20161005",983.0000
"20161004",998.0000
"20161003",1013.0000
"20160930",1034.0000
"20160929",1021.0000
"20160928",1018.0000
"20160927",1033.0000
"20160926",1036.0000
"20160923",1055.0000
"20160922",1059.0000
"20160921",1043.0000
"20160920",1022.0000
"20160919",1021.0000
"20160916",1012.0000
"20160915",1031.0000
"20160914",1032.0000
"20160913",1046.0000
"20160912",1043.0000
"20160909",1073.0000
"20160908",1088.0000
"20160907",1097.0000
"20160906",1087.0000
"20160905",1065.0000
"20160902",1052.0000
"20160901",1043.0000
"20160831",1050.0000
"20160830",1067.0000
"20160826",1077.0000
"20160825",1074.0000
"20160824",1090.0000
"20160823",1108.0000
"20160822",1110.0000
"20160819",1106.0000
"20160818",1122.0000
"20160817",1109.0000
"20160816",1124.0000
"20160815",1112.0000
"20160812",1146.0000
"20160811",1165.0000
"20160810",1182.0000
"20160809",1143.0000
"20160808",1149.0000
"20160805",1146.0000
"20160804",1157.0000
"20160803",1161.0000
"20160802",1175.0000
"20160801",1150.0000
"20160729",1143.0000
"20160728",1143.0000
"20160727",1105.0000
"20160726",1087.0000
"20160725",1068.0000
"20160722",1092.0000
"20160721",1089.0000
"20160720",1067.0000
"20160719",1086.0000
"20160718",1083.0000
"20160715",1092.0000
"20160714",1085.0000
"20160713",1091.0000
"20160712",1092.0000
"20160711",1087.0000
"20160708",1082.0000
"20160707",1086.0000
"20160706",1070.0000
"20160705",1063.0000
"20160704",1066.0000
"20160701",1039.0000
"20160630",999.0000
"20160629",997.0000
"20160628",975.0000
"20160627",986.0000
"20160624",987.0000
"20160623",963.0000
"20160622",980.0000
"20160621",974.0000
"20160620",978.0000
"20160617",968.0000
"20160616",985.0000
"20160615",981.0000
"20160614",985.0000
"20160613",993.0000
"20160610",996.0000
"20160609",993.0000
"20160608",1016.0000
"20160607",986.0000
"20160606",989.0000
"20160603",979.0000
"20160602",965.0000
"20160601",976.0000
"20160531",971.0000
"20160527",984.0000
"20160526",1003.0000
"20160525",994.0000
"20160524",1006.0000
"20160523",1007.0000
"20160520",1025.0000
"20160519",1010.0000
"20160518",1034.0000
"20160517",1042.0000
"20160516",1058.0000
"20160513",1042.0000
"20160512",1057.0000
"20160511",1067.0000
"20160510",1043.0000
"20160509",1053.0000
"20160506",1072.0000
"20160505",1064.0000
"20160504",1061.0000
"20160503",1081.0000
"20160429",1065.0000
"20160428",1040.0000
"20160427",1019.0000
"20160426",1005.0000
"20160425",1015.0000
"20160422",1028.0000
"20160421",1041.0000
"20160420",1018.0000
"20160419",999.0000
"20160418",978.0000
"20160415",986.0000
"20160414",993.0000
"20160413",994.0000
"20160412",990.0000
"20160411",981.0000
"20160408",957.0000
"20160407",955.0000
"20160406",942.0000
"20160405",961.0000
"20160404",954.0000
"20160403",961.0000
"20160402",954.0000
"20160401",957.0000
"20160331",976.0000
"20160330",971.0000
"20160329",948.0000
"20160324",957.0000
"20160323",960.0000
"20160322",991.0000
"20160321",978.0000
"20160318",972.0000
"20160317",988.0000
"20160316",963.0000
"20160315",956.0000
"20160314",963.0000
"20160311",974.0000
"20160310",979.0000
"20160309",980.0000
"20160308",1005.0000
"20160307",1002.0000
"20160306",942.0000
"20160304",960.0000
"20160303",940.0000
"20160302",931.0000
"20160301",943.0000
"20160229",919.0000
"20160226",928.0000
"20160225",930.0000
"20160224",950.0000
"20160223",929.0000
"20160222",922.0000
"20160219",941.0000
"20160218",933.0000
"20160217",939.0000
"20160216",933.0000
"20160215",938.0000
"20160212",957.0000
"20160211",948.0000
"20160210",926.0000
"20160209",932.0000
"20160208",913.0000
"20160205",899.0000
"20160204",897.0000
"20160203",861.0000
"20160202",863.0000
"20160201",867.0000
"20160129",866.0000
"20160128",883.0000
"20160127",876.0000
"20160126",867.0000
"20160125",862.0000
"20160122",833.0000
"20160121",814.0000
"20160120",820.0000
"20160119",834.0000
"20160118",816.0000
"20160115",839.0000
"20160114",835.0000
"20160113",843.0000
"20160112",843.0000
"20160111",853.0000
"20160108",874.0000
"20160107",865.0000
"20160106",873.0000
"20160105",893.0000
"20160104",893.0000
"20151230",868.0000
"20151229",895.0000
"20151223",866.0000
"20151222",869.0000
"20151221",873.0000
"20151218",852.0000
"20151217",848.0000
"20151216",876.0000
"20151215",852.0000
"20151214",854.0000
"20151211",836.0000
"20151210",857.0000
"20151209",855.0000
"20151208",852.0000
"20151207",878.0000
"20151204",859.0000
"20151203",845.0000
"20151202",834.0000
"20151201",843.0000
"20151130",831.0000
"20151127",827.0000
"20151126",850.0000
"20151125",834.0000
"20151124",840.0000
"20151123",847.0000
"20151120",858.0000
"20151119",848.0000
"20151118",844.0000
"20151117",861.0000
"20151116",862.0000
"20151113",866.0000
"20151112",879.0000
"20151111",889.0000
"20151110",903.0000
"20151109",918.0000
"20151106",939.0000
"20151105",954.0000
"20151104",971.0000
"20151103",960.0000
"20151102",973.0000
"20151030",988.0000
"20151029",993.0000
"20151028",1005.0000
"20151027",989.0000
"20151026",993.0000
"20151023",1006.0000
"20151022",1000.0000
"20151021",1007.0000
"20151020",1013.0000
"20151019",1014.0000
"20151016",1007.0000
"20151015",988.0000
"20151014",990.0000
"20151013",983.0000
"20151012",993.0000
"20151009",978.0000
"20151008",934.0000
"20151007",945.0000
"20151006",931.0000
"20151005",915.0000
"20151002",912.0000
"20151001",908.0000
"20150930",908.0000
"20150929",911.0000
"20150928",922.0000
"20150925",945.0000
"20150924",935.0000
"20150923",937.0000
"20150922",946.0000
"20150921",972.0000
"20150918",988.0000
"20150917",960.0000
"20150916",964.0000
"20150915",959.0000
"20150914",952.0000
"20150911",971.0000
"20150910",987.0000
"20150909",992.0000
"20150908",998.0000
"20150907",986.0000
"20150904",991.0000
"20150903",1002.0000
"20150902",1007.0000
"20150901",1005.0000
"20150828",1003.0000
"20150827",990.0000
"20150826",973.0000
"20150825",994.0000
"20150824",986.0000
"20150821",1028.0000
"20150820",1017.0000
"20150819",993.0000
"20150818",989.0000
"20150817",990.0000
"20150814",997.0000
"20150813",988.0000
"20150812",990.0000
"20150811",983.0000
"20150810",971.0000
"20150807",946.0000
"20150806",948.0000
"20150805",951.0000
"20150804",955.0000
"20150803",971.0000
"20150731",979.0000
"20150730",984.0000
"20150729",983.0000
"20150728",976.0000
"20150727",976.0000
"20150724",979.0000
"20150723",987.0000
"20150722",964.0000
"20150721",982.0000
"20150720",981.0000
"20150717",998.0000
"20150716",1005.0000
"20150715",1019.0000
"20150714",1030.0000
"20150713",1023.0000
"20150710",1032.0000
"20150709",1032.0000
"20150708",1016.0000
"20150707",1046.0000
"20150706",1047.0000
"20150703",1082.0000
"20150702",1083.0000
"20150701",1082.0000
"20150630",1078.0000
"20150629",1081.0000
"20150626",1074.0000
"20150625",1075.0000
"20150624",1067.0000
"20150623",1061.0000
"20150622",1068.0000
"20150619",1085.0000
"20150618",1088.0000
"20150617",1073.0000
"20150616",1084.0000
"20150615",1077.0000
"20150612",1095.0000
"20150611",1108.0000
"20150610",1117.0000
"20150609",1109.0000
"20150608",1098.0000
"20150605",1092.0000
"20150604",1100.0000
"20150603",1109.0000
"20150602",1105.0000
"20150601",1109.0000
"20150529",1115.0000
"20150528",1115.0000
"20150527",1122.0000
"20150526",1127.0000
"20150522",1143.0000
"20150521",1146.0000
"20150520",1153.0000
"20150519",1155.0000
"20150518",1174.0000
"20150515",1158.0000
"20150514",1152.0000
"20150513",1143.0000
"20150512",1134.0000
"20150511",1132.0000
"20150508",1140.0000
"20150507",1130.0000
"20150506",1144.0000
"20150505",1156.0000
"20150501",1127.0000
"20150430",1136.0000
"20150429",1158.0000
"20150428",1144.0000
"20150427",1125.0000
"20150424",1128.0000
"20150423",1129.0000
"20150422",1138.0000
"20150421",1152.0000
"20150420",1150.0000
"20150417",1161.0000
"20150416",1167.0000
"20150415",1148.0000
"20150414",1147.0000
"20150413",1154.0000
"20150410",1171.0000
"20150409",1162.0000
"20150408",1169.0000
"20150407",1167.0000
"20150402",1154.0000
"20150401",1142.0000
"20150331",1129.0000
"20150330",1119.0000
