"Time","Silver Fixing (Evening) International  - 
  - $/oz"
"20170124",17.1050
"20170123",17.1400
"20170120",16.8900
"20170119",16.9500
"20170118",17.1200
"20170117",17.0000
"20170116",16.8200
"20170113",16.7600
"20170112",16.9100
"20170111",16.7900
"20170110",16.6650
"20170109",16.5200
"20170106",16.4500
"20170105",16.5900
"20170104",16.4200
"20170103",15.9500
"20161230",16.2400
"20161229",16.0600
"20161228",15.8500
"20161223",15.7400
"20161222",15.7700
"20161221",16.0300
"20161220",15.8000
"20161219",16.0000
"20161216",16.0500
"20161215",16.1400
"20161214",17.1100
"20161213",17.0100
"20161212",16.8600
"20161209",16.9500
"20161208",17.1300
"20161207",16.7700
"20161206",16.7900
"20161205",16.6200
"20161202",16.3500
"20161201",16.3000
"20161130",16.6700
"20161129",16.5400
"20161128",16.6800
"20161125",16.4650
"20161124",16.3100
"20161123",16.5600
"20161122",16.7600
"20161121",16.6800
"20161118",16.5100
"20161117",17.0400
"20161116",16.9500
"20161115",17.0000
"20161114",17.1950
"20161111",18.5900
"20161110",18.7500
"20161109",18.8100
"20161108",18.2600
"20161107",18.2200
"20161104",18.3000
"20161103",18.0700
"20161102",18.5400
"20161101",18.2400
"20161031",17.7600
"20161028",17.6100
"20161027",17.6600
"20161026",17.6600
"20161025",17.7300
"20161024",17.6400
"20161021",17.5100
"20161020",17.6000
"20161019",17.6900
"20161018",17.6500
"20161017",17.4000
"20161014",17.4700
"20161013",17.5900
"20161012",17.4400
"20161011",17.4800
"20161010",17.7800
"20161007",17.3300
"20161006",17.7600
"20161005",17.8000
"20161004",18.7400
"20161003",19.1800
"20160930",19.3500
"20160929",19.0100
"20160928",19.1200
"20160927",19.4200
"20160926",19.4400
"20160923",19.8200
"20160922",19.8750
"20160921",19.4300
"20160920",19.1700
"20160919",19.1200
"20160916",18.9100
"20160915",18.9600
"20160914",19.0400
"20160913",19.1600
"20160912",18.7200
"20160909",19.4100
"20160908",19.9300
"20160907",19.9200
"20160906",19.6000
"20160905",19.4600
"20160902",18.7500
"20160901",18.6500
"20160831",18.7400
"20160830",18.7800
"20160826",18.6700
"20160825",18.5000
"20160824",18.8400
"20160823",18.9800
"20160822",18.9100
"20160819",19.4150
"20160818",19.7800
"20160817",19.5700
"20160816",20.0350
"20160815",19.9000
"20160812",19.8700
"20160811",20.2100
"20160810",20.3350
"20160809",19.7000
"20160808",19.6600
"20160805",20.2200
"20160804",20.1600
"20160803",20.5900
"20160802",20.7100
"20160801",20.5100
"20160729",20.0400
"20160728",20.4100
"20160727",19.5800
"20160726",19.6800
"20160725",19.4100
"20160722",19.7000
"20160721",19.3400
"20160720",19.7000
"20160719",19.9900
"20160718",19.7200
"20160715",20.1400
"20160714",20.2500
"20160713",20.2900
"20160712",20.3500
"20160711",20.4700
"20160708",19.7200
"20160707",19.9500
"20160706",20.4300
"20160705",19.7300
"20160704",20.3600
"20160701",19.2400
"20160630",18.3600
"20160629",18.2100
"20160628",17.5700
"20160627",17.7000
"20160624",18.0400
"20160623",17.2900
"20160622",17.2000
"20160621",17.3600
"20160620",17.3350
"20160617",17.3700
"20160616",17.7100
"20160615",17.4100
"20160614",17.2500
"20160613",17.3200
"20160610",17.3200
"20160609",17.0500
"20160608",16.7500
"20160607",16.3100
"20160606",16.4000
"20160603",16.1000
"20160602",15.9800
"20160601",15.9500
"20160531",16.0600
"20160527",16.3000
"20160526",16.4600
"20160525",16.2050
"20160524",16.2700
"20160523",16.3100
"20160520",16.5600
"20160519",16.6000
"20160518",17.0500
"20160517",17.0800
"20160516",17.3200
"20160513",17.0900
"20160512",17.2300
"20160511",17.5100
"20160510",17.0400
"20160509",17.3300
"20160506",17.3100
"20160505",17.3800
"20160504",17.1800
"20160503",17.4900
"20160429",17.8550
"20160428",17.3500
"20160427",17.3400
"20160426",16.9500
"20160425",16.8600
"20160422",17.1900
"20160421",17.3200
"20160420",16.9700
"20160419",16.6200
"20160418",16.2000
"20160415",16.1700
"20160414",16.1300
"20160413",15.9800
"20160412",15.9600
"20160411",15.5600
"20160408",15.1600
"20160407",15.2200
"20160406",15.0700
"20160405",15.1900
"20160404",14.9600
"20160401",15.3800
"20160331",15.3800
"20160330",15.3800
"20160329",15.0600
"20160324",15.2800
"20160323",15.5800
"20160322",15.8900
"20160321",15.8100
"20160318",15.9400
"20160317",15.7300
"20160316",15.2900
"20160315",15.3200
"20160314",15.6000
"20160311",15.5000
"20160310",15.2700
"20160309",15.2700
"20160308",15.6600
"20160307",15.6600
"20160304",15.4300
"20160303",14.9700
"20160302",14.8200
"20160301",14.9900
"20160229",14.7500
"20160226",15.1700
"20160225",15.1600
"20160224",15.3200
"20160223",15.2100
"20160222",15.0000
"20160219",15.3700
"20160218",15.2500
"20160217",15.2500
"20160216",15.3500
"20160215",15.2600
"20160212",15.6400
"20160211",15.6500
"20160210",15.1200
"20160209",15.3400
"20160208",14.9400
"20160205",14.9100
"20160204",14.7400
"20160203",14.4100
"20160202",14.2600
"20160201",14.3300
"20160129",14.0800
"20160128",13.5800
"20160127",14.3800
"20160126",14.3300
"20160125",14.2200
"20160122",14.1700
"20160121",14.0100
"20160120",14.0500
"20160119",14.0300
"20160118",13.8800
"20160115",13.8000
"20160114",14.0200
"20160113",13.8300
"20160112",13.8800
"20160111",13.9700
"20160108",14.0400
"20160107",14.0300
"20160106",14.0050
"20160105",14.0100
"20160104",14.0000
"20151231",13.8200
"20151230",13.8200
"20151229",13.9300
"20151224",14.2000
"20151223",14.3300
"20151222",14.2400
"20151221",14.2000
"20151218",13.8200
"20151217",14.0800
"20151216",13.7400
"20151215",13.7400
"20151214",13.7100
"20151211",13.9200
"20151210",14.1700
"20151209",14.2700
"20151208",14.2400
"20151207",14.4900
"20151204",14.1300
"20151203",13.9300
"20151202",14.1400
"20151201",14.2100
"20151130",14.0800
"20151129",14.1100
"20151128",14.1100
"20151127",14.1100
"20151126",14.2900
"20151125",14.0700
"20151124",14.1400
"20151123",13.9800
"20151120",14.2900
"20151119",14.2100
"20151118",14.1700
"20151117",14.2500
"20151116",14.3600
"20151113",14.3900
"20151112",14.3900
"20151111",14.4400
"20151110",14.5500
"20151109",14.7800
"20151106",15.0800
"20151105",15.0200
"20151104",15.2600
"20151103",15.3800
"20151102",15.4000
"20151030",15.8200
"20151029",15.8200
"20151028",16.0300
"20151027",15.8000
"20151026",16.1000
"20151023",15.9800
"20151022",15.7700
"20151021",15.7500
"20151020",15.8600
"20151019",15.8600
"20151016",16.0400
"20151015",16.1800
"20151014",15.8400
"20151013",15.6100
"20151012",15.9600
"20151009",15.9900
"20151008",15.6100
"20151007",15.8200
"20151006",15.6700
"20151005",15.2500
"20151002",14.4300
"20151001",14.5500
"20150930",14.6500
"20150929",14.5600
"20150928",14.7000
"20150925",14.9900
"20150924",14.7900
"20150923",14.8000
"20150922",14.9400
"20150921",15.1800
"20150918",15.2600
"20150917",14.7600
"20150916",14.5100
"20150915",14.3500
"20150914",14.4300
"20150911",14.5800
"20150910",14.7200
"20150909",14.7700
"20150908",14.6300
"20150907",14.5400
"20150904",14.6900
"20150903",14.7100
"20150902",14.5600
"20150901",14.6800
"20150828",14.4400
"20150827",14.2700
"20150826",14.4100
"20150825",14.8700
"20150824",14.9400
"20150821",15.4600
"20150820",15.5000
"20150819",14.8400
"20150818",15.2300
"20150817",15.2300
"20150814",15.5500
"20150813",15.3300
"20150812",15.3600
"20150811",15.3100
"20150810",14.8800
"20150807",14.7500
"20150806",14.5900
"20150805",14.5200
"20150804",14.5400
"20150803",14.7300
"20150731",14.5600
"20150730",14.6400
"20150729",14.6100
"20150728",14.5400
"20150727",14.6900
"20150724",14.4900
"20150723",14.8800
"20150722",14.7800
"20150721",14.7500
"20150720",14.8400
"20150717",15.0100
"20150716",14.9300
"20150715",15.3100
"20150714",15.2800
"20150713",15.4500
"20150710",15.4500
"20150709",15.3800
"20150708",14.9900
"20150707",15.6100
"20150706",15.5900
"20150703",15.6400
"20150702",15.6100
"20150701",15.6300
"20150630",15.7000
"20150629",15.8300
"20150626",15.8300
"20150625",15.7700
"20150624",15.8900
"20150623",15.9600
"20150622",16.1900
"20150619",16.1200
"20150618",16.2400
"20150617",15.9800
"20150616",16.0300
"20150615",15.9300
"20150612",15.9300
"20150611",15.8700
"20150610",16.1300
"20150609",16.1300
"20150608",16.0600
"20150605",16.1500
"20150604",16.4700
"20150603",16.6000
"20150602",16.7000
"20150601",16.6100
"20150529",16.6700
"20150528",16.6800
"20150527",16.6600
"20150526",16.7900
"20150522",17.2500
"20150521",17.1800
"20150520",17.0700
"20150519",17.4000
"20150518",17.7000
"20150515",17.2500
"20150514",17.4000
"20150513",16.6500
"20150512",16.4600
"20150511",16.3900
"20150508",16.3100
"20150507",16.3500
"20150506",16.4100
"20150505",16.4200
"20150501",16.1700
"20150430",16.5200
"20150429",16.4800
"20150428",16.3200
"20150427",15.8400
"20150424",15.8300
"20150423",15.8600
"20150422",16.0500
"20150421",16.0800
"20150420",16.0900
"20150417",16.3600
"20150416",16.4700
"20150415",16.1800
"20150414",16.0800
"20150413",16.2700
"20150410",16.5500
"20150409",16.3000
"20150408",16.8400
"20150407",16.8600
"20150402",16.8400
"20150401",16.5600
"20150331",16.6000
"20150330",16.6500
"20150327",17.1400
"20150326",17.1300
"20150325",16.9400
"20150324",16.9700
"20150323",16.7300
"20150320",16.1700
"20150319",15.8800
"20150318",15.4700
"20150317",15.5600
"20150316",15.5800
"20150313",15.5000
"20150312",15.6800
"20150311",15.6400
"20150310",15.7800
"20150309",15.9200
"20150306",15.9900
"20150305",16.1900
"20150304",16.3200
"20150303",16.4200
"20150302",16.6300
"20150227",16.5300
"20150226",16.8200
"20150225",16.5100
"20150224",16.3200
"20150223",16.2000
"20150220",16.3400
"20150219",16.7300
"20150218",16.4200
"20150217",16.8200
"20150216",17.2700
"20150213",16.8600
