"Time","CPI All Urban Consumers - Seasonally Unadjusted USA All items  - Non Adj. CPI
  - CPI"
"201612",241.43
"201611",241.35
"201610",241.73
"201609",241.43
"201608",240.85
"201607",240.63
"201606",241.02
"201605",240.23
"201604",239.26
"201603",238.13
"201602",237.11
"201601",236.92
"201512",236.53
"201511",237.34
"201510",237.84
"201509",237.95
"201508",238.32
"201507",238.65
"201506",238.64
"201505",237.81
"201504",236.60
"201503",236.12
"201502",234.72
"201501",233.71
"201412",234.81
"201411",236.15
"201410",237.43
"201409",238.03
"201408",237.85
"201407",238.25
"201406",238.34
"201405",237.90
"201404",237.07
"201403",236.29
"201402",234.78
"201401",233.92
"201312",233.05
"201311",233.07
"201310",233.55
"201309",234.15
"201308",233.88
"201307",233.60
"201306",233.50
"201305",232.95
"201304",232.53
"201303",232.77
"201302",232.17
"201301",230.28
"201212",229.60
"201211",230.22
"201210",231.32
"201209",231.41
"201208",230.38
"201207",229.10
"201206",229.48
"201205",229.82
"201204",230.09
"201203",229.39
"201202",227.66
"201201",226.67
"201112",225.67
"201111",226.23
"201110",226.42
"201109",226.89
"201108",226.55
"201107",225.92
"201106",225.72
"201105",225.96
"201104",224.91
"201103",223.47
"201102",221.31
"201101",220.22
"201012",219.18
"201011",218.80
"201010",218.71
"201009",218.44
"201008",218.31
"201007",218.01
"201006",217.97
"201005",218.18
"201004",218.01
"201003",217.63
"201002",216.74
"201001",216.69
"200912",215.95
"200911",216.33
"200910",216.18
"200909",215.97
"200908",215.83
"200907",215.35
"200906",215.69
"200905",213.86
"200904",213.24
"200903",212.71
"200902",212.19
"200901",211.14
"200812",210.23
"200811",212.43
"200810",216.57
"200809",218.78
"200808",219.09
"200807",219.96
"200806",218.82
"200805",216.63
"200804",214.82
"200803",213.53
"200802",211.69
"200801",211.08
"200712",210.04
"200711",210.18
"200710",208.94
"200709",208.49
"200708",207.92
"200707",208.30
"200706",208.35
"200705",207.95
"200704",206.69
"200703",205.35
"200702",203.50
"200701",202.42
"200612",201.80
"200611",201.50
"200610",201.80
"200609",202.90
"200608",203.90
"200607",203.50
"200606",202.90
"200605",202.50
"200604",201.50
"200603",199.80
"200602",198.70
"200601",198.30
"200512",196.80
"200511",197.60
"200510",199.20
"200509",198.80
"200508",196.40
"200507",195.40
"200506",194.50
"200505",194.40
"200504",194.60
"200503",193.30
"200502",191.80
"200501",190.70
"200412",190.30
"200411",191.00
"200410",190.90
"200409",189.90
"200408",189.50
"200407",189.40
"200406",189.70
"200405",189.10
"200404",188.00
"200403",187.40
"200402",186.20
"200401",185.20
"200312",184.30
"200311",184.50
"200310",185.00
"200309",185.20
"200308",184.60
"200307",183.90
"200306",183.70
"200305",183.50
"200304",183.80
"200303",184.20
"200302",183.10
"200301",181.70
"200212",180.90
"200211",181.30
"200210",181.30
"200209",181.00
"200208",180.70
"200207",180.10
"200206",179.90
"200205",179.80
"200204",179.80
"200203",178.80
"200202",177.80
"200201",177.10
"200112",176.70
"200111",177.40
"200110",177.70
"200109",178.30
"200108",177.50
"200107",177.50
"200106",178.00
"200105",177.70
"200104",176.90
"200103",176.20
"200102",175.80
"200101",175.10
"200012",174.00
