Time,"M2 - Seasonally Adjusted USA  - M2
  - $"
201612,1.32492E+13
201611,1.32233E+13
201610,1.3138E+13
201609,1.30612E+13
201608,1.29871E+13
201607,1.28781E+13
201606,1.28036E+13
201605,1.27288E+13
201604,1.26523E+13
201603,1.25727E+13
201602,1.24852E+13
201601,1.24365E+13
201512,1.23135E+13
201511,1.22663E+13
201510,1.21807E+13
201509,1.21577E+13
201508,1.21004E+13
201507,1.20361E+13
201506,1.19752E+13
201505,1.19278E+13
201504,1.18909E+13
201503,1.18392E+13
201502,1.18033E+13
201501,1.17067E+13
201412,1.16469E+13
201411,1.15773E+13
201410,1.15389E+13
201409,1.1485E+13
201408,1.14487E+13
201407,1.14124E+13
201406,1.13451E+13
201405,1.12915E+13
201404,1.12219E+13
201403,1.11631E+13
201402,1.11085E+13
201401,1.10434E+13
201312,1.09947E+13
201311,1.09373E+13
201310,1.09299E+13
201309,1.08204E+13
201308,1.07673E+13
201307,1.07056E+13
201306,1.06467E+13
201305,1.05905E+13
201304,1.05543E+13
201303,1.05182E+13
201302,1.04393E+13
201301,1.04533E+13
201212,1.04287E+13
201211,1.03042E+13
201210,1.02445E+13
201209,1.01831E+13
201208,1.01004E+13
201207,1.00277E+13
201206,9.9527E+12
201205,9.8822E+12
201204,9.8518E+12
201203,9.7981E+12
201202,9.7498E+12
201201,9.7142E+12
201112,9.6362E+12
201111,9.5969E+12
201110,9.5515E+12
201109,9.5186E+12
201108,9.4946E+12
201107,9.2812E+12
201106,9.0927E+12
201105,9.0086E+12
201104,8.9583E+12
201103,8.8956E+12
201102,8.8521E+12
201101,8.8106E+12
201012,8.7752E+12
201011,8.742E+12
201010,8.713E+12
201009,8.6626E+12
201008,8.6328E+12
201007,8.5823E+12
201006,8.5727E+12
201005,8.5546E+12
201004,8.5022E+12
201003,8.471E+12
201002,8.4773E+12
201001,8.4311E+12
200912,8.471E+12
200911,8.4742E+12
200910,8.4333E+12
200909,8.4051E+12
200908,8.4073E+12
200907,8.408E+12
200906,8.4041E+12
200905,8.3956E+12
200904,8.3404E+12
200903,8.3351E+12
200902,8.2737E+12
200901,8.2461E+12
200812,8.1666E+12
200811,7.9888E+12
200810,7.9296E+12
200809,7.8213E+12
200808,7.7527E+12
200807,7.7389E+12
200806,7.6939E+12
200805,7.6776E+12
200804,7.6681E+12
200803,7.6224E+12
200802,7.5596E+12
200801,7.4764E+12
200712,7.4442E+12
200711,7.4128E+12
200710,7.3795E+12
200709,7.3648E+12
200708,7.348E+12
200707,7.2728E+12
200706,7.2437E+12
200705,7.2119E+12
200704,7.1994E+12
200703,7.1243E+12
200702,7.0937E+12
200701,7.0786E+12
200612,7.0414E+12
200611,6.9975E+12
200610,6.957E+12
200609,6.907E+12
200608,6.881E+12
200607,6.8514E+12
200606,6.8109E+12
200605,6.7744E+12
200604,6.7693E+12
200603,6.7306E+12
200602,6.7176E+12
200601,6.6934E+12
200512,6.6512E+12
200511,6.6239E+12
200510,6.6043E+12
200509,6.5696E+12
200508,6.5362E+12
200507,6.504E+12
200506,6.4731E+12
200505,6.4412E+12
200504,6.4248E+12
200503,6.4104E+12
200502,6.4019E+12
200501,6.3938E+12
200412,6.3874E+12
200411,6.3684E+12
200410,6.3412E+12
200409,6.3131E+12
200408,6.2782E+12
200407,6.2524E+12
200406,6.2393E+12
200405,6.2375E+12
200404,6.1608E+12
200403,6.1206E+12
200402,6.0846E+12
200401,6.0457E+12
200312,6.0374E+12
200311,6.0397E+12
200310,6.0351E+12
200309,6.0448E+12
200308,6.0727E+12
200307,6.0149E+12
200306,5.9682E+12
200305,5.9315E+12
200304,5.8706E+12
200303,5.8336E+12
200302,5.8129E+12
200301,5.7769E+12
200212,5.7442E+12
200211,5.7232E+12
200210,5.6736E+12
200209,5.6294E+12
200208,5.6046E+12
200207,5.5623E+12
200206,5.5199E+12
200205,5.4957E+12
200204,5.4701E+12
200203,5.4701E+12
200202,5.4579E+12
200201,5.4288E+12
200112,5.4084E+12
200111,5.3555E+12
200110,5.3121E+12
200109,5.3259E+12
200108,5.2148E+12
200107,5.181E+12
200106,5.1511E+12
200105,5.1109E+12
200104,5.1137E+12
200103,5.0503E+12
200102,4.993E+12
200101,4.9553E+12
200012,4.905E+12
200011,4.8606E+12
200010,4.8501E+12
200009,4.8342E+12
200008,4.7984E+12
200007,4.77E+12
200006,4.7521E+12
200005,4.7346E+12
200004,4.7473E+12
200003,4.6915E+12
200002,4.6606E+12
200001,4.6472E+12
199912,4.619E+12
199911,4.5916E+12
199910,4.5722E+12
199909,4.5488E+12
199908,4.533E+12
199907,4.5158E+12
199906,4.4888E+12
199905,4.4673E+12
199904,4.4433E+12
199903,4.4153E+12
199902,4.4083E+12
199901,4.3855E+12
