"Time","Total Reserves United States  - Current US$"
"201607",109370100000
"201606",109161100000
"201605",108149100000
"201604",109994100000
"201603",108686100000
"201602",106177100000
"201601",106147100000
"201512",106540100000
"201511",105599100000
"201510",108226100000
"201509",109177100000
"201508",109858100000
"201507",108276900000
"201506",109291500000
"201505",108494100000
"201504",110249200000
"201503",108228500000
"201502",113676200000
"201501",115561800000
"201412",119048700000
"201411",122599600000
"201410",125243600000
"201409",126012400000
"201408",130276600000
"201407",131875000000
"201406",134135100000
"201405",133554000000
"201404",133236400000
"201403",133243300000
"201402",134163400000
"201401",133374700000
"201312",133533500000
"201311",134071000000
"201310",136358100000
"201309",136705600000
"201308",134714700000
"201307",136472600000
"201306",134661700000
"201305",133000800000
"201304",135767700000
"201303",135218800000
"201302",137796300000
"201301",140854100000
"201212",139133900000
"201211",140234400000
"201210",141187200000
"201209",142034400000
"201208",140459900000
"201207",138342400000
"201206",138789500000
"201205",137824000000
"201204",141421900000
"201203",138037000000
"201202",137840300000
"201201",138238500000
"201112",136912500000
"201111",136987400000
"201110",139654000000
"201109",137445300000
"201108",139612700000
"201107",138662500000
"201106",136618900000
"201105",135905000000
"201104",131947600000
"201103",128273300000
"201102",123613700000
"201101",122902300000
"201012",121391600000
"201011",119241300000
"201010",124350900000
"201009",122058100000
"201008",117405600000
"201007",118086300000
"201006",113473200000
"201005",113133400000
"201004",115440500000
"201003",116479700000
"201002",118251500000
"201001",118919100000
"200912",119718800000
"200911",123978900000
"200910",123649000000
"200909",123254700000
"200908",115804900000
"200907",71890200000
"200906",70447610000
"200905",70696770000
"200904",64073520000
"200903",63916460000
"200902",62157690000
"200901",64479910000
"200812",66607010000
"200811",62337370000
"200810",58721940000
"200809",60792950000
"200808",61519390000
"200807",63790790000
"200806",64698660000
"200805",64128960000
"200804",63330570000
"200803",64723090000
"200802",62362920000
"200801",60975630000
"200712",59524250000
"200711",59924910000
"200710",58585350000
"200709",58029320000
"200708",56467290000
"200707",55988110000
"200706",55086000000
"200705",54966470000
"200704",55678450000
"200703",55509600000
"200702",55040600000
"200701",54022280000
"200612",54853860000
"200611",55663910000
"200610",54547390000
"200609",55175910000
"200608",55564690000
"200607",56517690000
"200606",56892930000
"200605",56049310000
"200604",55805200000
"200603",54310870000
"200602",54320670000
"200601",54549640000
"200512",54083770000
"200511",57732140000
"200510",59177460000
"200509",60232240000
"200508",61202400000
"200507",63579420000
"200506",65552440000
"200505",66701370000
"200504",68484160000
"200503",67901180000
"200502",69126520000
"200501",70405920000
"200412",75890040000
"200411",75658560000
"200410",73188500000
"200409",71534740000
"200408",71559260000
"200407",70330870000
"200406",71608040000
"200405",71758650000
"200404",71045190000
"200403",74146590000
"200402",73696340000
"200401",74211680000
"200312",74894060000
"200311",74328230000
"200310",73107470000
"200309",73389020000
"200308",69379600000
"200307",69572010000
"200306",70616600000
"200305",71242720000
"200304",69361710000
"200303",69006300000
"200302",67536930000
"200301",67391100000
"200212",67962330000
"200211",64629590000
"200210",64457590000
"200209",64817960000
"200208",64535520000
"200207",63709200000
"200206",63652140000
"200205",58534740000
"200204",56800080000
"200203",56529330000
"200202",56313120000
"200201",56487780000
"200112",57633680000
"200111",58112330000
"200110",58661790000
"200109",59902190000
"200108",56808460000
"200107",54692120000
"200106",53803330000
"200105",54209480000
"200104",53684840000
"200103",53175310000
"200102",55439630000
"200101",56496030000
"200012",56600420000
"200011",54476510000
"200010",54211440000
"200009",55210250000
"200008",54286750000
"200007",55471340000
"200006",56909140000
"200005",56111760000
"200004",55556060000
"200003",59740970000
"200002",58260810000
"200001",58849790000
"199912",60499560000
"199911",61268790000
"199910",62180500000
"199909",62366300000
"199908",61603410000
"199907",62257040000
"199906",60642890000
"199905",61005240000
"199904",62645580000
"199903",63310300000
"199902",64273800000
"199901",69629010000
"199812",70714870000
"199811",66641850000
"199810",68142050000
"199809",64631460000
"199808",62498500000
"199807",61214880000
"199806",60114580000
"199805",59674540000
"199804",59280350000
"199803",58303770000
"199802",59581120000
"199801",58956980000
"199712",58906920000
"199711",56063070000
"199710",56986590000
"199709",56097750000
"199708",55591060000
"199707",55069360000
"199706",56763420000
"199705",57002550000
"199704",54822400000
"199703",56171610000
"199702",56430660000
"199701",57151630000
"199612",64040820000
"199611",64331090000
"199610",64507800000
