"Time","Unemployment Rate Non-Seasonally Adjusted USA  - %"
"201612",4.5
"201611",4.4
"201610",4.7
"201609",4.8
"201608",5.0
"201607",5.1
"201606",5.1
"201605",4.5
"201604",4.7
"201603",5.1
"201602",5.2
"201601",5.3
"201512",4.8
"201511",4.8
"201510",4.8
"201509",4.9
"201508",5.2
"201507",5.6
"201506",5.5
"201505",5.3
"201504",5.1
"201503",5.6
"201502",5.8
"201501",6.1
"201412",5.4
"201411",5.5
"201410",5.5
"201409",5.7
"201408",6.3
"201407",6.5
"201406",6.3
"201405",6.1
"201404",5.9
"201403",6.8
"201402",7.0
"201401",7.0
"201312",6.5
"201311",6.6
"201310",7.0
"201309",7.0
"201308",7.3
"201307",7.7
"201306",7.8
"201305",7.3
"201304",7.1
"201303",7.6
"201302",8.1
"201301",8.5
"201212",7.6
"201211",7.4
"201210",7.5
"201209",7.6
"201208",8.2
"201207",8.6
"201206",8.4
"201205",7.9
"201204",7.7
"201203",8.4
"201202",8.7
"201201",8.8
"201112",8.3
"201111",8.2
"201110",8.5
"201109",8.8
"201108",9.1
"201107",9.3
"201106",9.3
"201105",8.7
"201104",8.7
"201103",9.2
"201102",9.5
"201101",9.8
"201012",9.1
"201011",9.3
"201010",9.0
"201009",9.2
"201008",9.5
"201007",9.7
"201006",9.6
"201005",9.3
"201004",9.5
"201003",10.2
"201002",10.4
"201001",10.6
"200912",9.7
"200911",9.4
"200910",9.5
"200909",9.5
"200908",9.6
"200907",9.7
"200906",9.7
"200905",9.1
"200904",8.6
"200903",9.0
"200902",8.9
"200901",8.5
"200812",7.1
"200811",6.5
"200810",6.1
"200809",6.0
"200808",6.1
"200807",6.0
"200806",5.7
"200805",5.2
"200804",4.8
"200803",5.2
"200802",5.2
"200801",5.4
"200712",4.8
"200711",4.5
"200710",4.4
"200709",4.5
"200708",4.6
"200707",4.9
"200706",4.7
"200705",4.3
"200704",4.3
"200703",4.5
"200702",4.9
"200701",5.0
"200612",4.3
"200611",4.3
"200610",4.1
"200609",4.4
"200608",4.6
"200607",5.0
"200606",4.8
"200605",4.4
"200604",4.5
"200603",4.8
"200602",5.1
"200601",5.1
"200512",4.6
"200511",4.8
"200510",4.6
"200509",4.8
"200508",4.9
"200507",5.2
"200506",5.2
"200505",4.9
"200504",4.9
"200503",5.4
"200502",5.8
"200501",5.7
"200412",5.1
"200411",5.2
"200410",5.1
"200409",5.1
"200408",5.4
"200407",5.7
"200406",5.8
"200405",5.3
"200404",5.4
"200403",6.0
"200402",6.0
"200401",6.3
"200312",5.4
"200311",5.6
"200310",5.6
"200309",5.8
"200308",6.0
"200307",6.3
"200306",6.5
"200305",5.8
"200304",5.8
"200303",6.2
"200302",6.4
"200301",6.5
"200212",5.7
"200211",5.6
"200210",5.3
"200209",5.4
"200208",5.7
"200207",5.9
"200206",6.0
"200205",5.5
"200204",5.7
"200203",6.1
"200202",6.1
"200201",6.3
"200112",5.4
"200111",5.3
"200110",5.0
"200109",4.7
"200108",4.9
"200107",4.7
"200106",4.7
"200105",4.1
