Time,"Diffusion Index 1 USA  - DI1
  - Index"
201511,70
201510,74
201509,72
201508,64
201507,60
201506,72
201505,56
201504,66
201503,72
201502,88
201501,92
201412,96
201411,96
201410,100
201409,96
201408,96
201407,96
201406,90
201405,92
201404,98
201403,94
201402,94
201401,94
201312,92
201311,92
201310,94
201309,96
201308,92
201307,90
201306,76
201305,86
201304,88
201303,90
201302,92
201301,86
201212,88
201211,96
201210,98
201209,88
201208,86
201207,84
201206,86
201205,88
201204,86
201203,96
201202,98
201201,100
201112,96
201111,96
201110,96
201109,86
201108,94
201107,74
201106,70
201105,84
201104,78
201103,92
201102,84
201101,82
201012,66
201011,60
201010,56
201009,66
201008,70
201007,84
201006,82
201005,88
201004,86
201003,78
201002,56
201001,10
200912,-34
200911,-36
200910,-44
200909,-60
200908,-72
200907,-80
200906,-86
200905,-96
200904,-98
200903,-100
200902,-100
200901,-100
200812,-98
200811,-92
200810,-86
200809,-80
200808,-70
200807,-60
200806,-66
200805,-48
200804,-46
200803,-16
200802,14
200801,38
200712,54
200711,54
200710,46
200709,36
200708,24
200707,38
200706,50
200705,62
200704,78
200703,80
200702,94
200701,90
200612,98
200611,96
200610,92
200609,90
200608,84
200607,80
200606,80
200605,80
200604,94
200603,96
200602,94
200601,96
200512,94
200511,92
200510,78
200509,82
200508,78
200507,84
200506,80
200505,86
200504,90
200503,88
200502,90
200501,78
200412,90
200411,90
200410,86
200409,100
200408,90
200407,100
200406,98
200405,92
200404,90
200403,96
200402,96
200401,94
200312,98
200311,96
200310,98
200309,100
200308,96
200307,78
200306,58
200305,40
200304,18
200303,6
200302,-20
200301,-10
200212,-24
200211,-6
200210,0
200209,24
200208,32
200207,54
200206,42
200205,56
200204,34
200203,18
200202,6
200201,-24
200112,-54
200111,-50
200110,-62
200109,-68
200108,-54
200107,-58
200106,-46
200105,-26
200104,-22
200103,-8
200102,8
200101,44
200012,34
200011,58
200010,46
200009,52
200008,58
200007,68
200006,66
200005,82
200004,88
200003,94
200002,94
200001,96
199912,100
199911,100
199910,100
199909,100
199908,98
199907,96
199906,90
199905,94
199904,92
199903,88
199902,94
199901,88
199812,98
199811,92
199810,100
199809,94
199808,94
199807,88
199806,88
199805,92
199804,96
199803,98
199802,98
199801,98
199712,100
199711,96
199710,100
199709,100
199708,96
199707,98
199706,98
199705,98
199704,98
199703,96
199702,96
199701,98
199612,96
199611,92
199610,92
199609,92
199608,96
199607,98
199606,100
199605,98
199604,96
199603,92
199602,92
199601,88
199512,88
199511,86
199510,90
199509,88
199508,86
199507,82
199506,74
199505,78
199504,82
199503,86
199502,90
199501,92
199412,96
199411,96
199410,96
199409,98
199408,98
199407,96
199406,100
199405,94
199404,92
199403,94
199402,92
199401,94
199312,96
199311,96
199310,96
199309,96
199308,96
199307,96
199306,96
199305,96
199304,94
199303,96
199302,90
199301,94
199212,90
199211,88
199210,94
199209,92
199208,88
199207,84
199206,88
199205,84
199204,84
199203,76
199202,64
199201,60
199112,52
199111,46
199110,44
199109,58
199108,50
199107,56
199106,42
199105,16
199104,10
199103,-26
199102,-30
199101,-32
199012,-24
199011,-28
199010,-24
199009,-10
199008,0
199007,18
199006,28
199005,54
199004,60
199003,70
199002,70
199001,68
