Time,"Commodity Prices International Agr: Food  - 
  - 2010=100 nominal$"
201608,70.69
201607,71.12
201606,74.82
201605,76.54
201604,77.07
201603,77.25
201602,81.47
201601,85.98
201512,90.6
201511,93.19
201510,93.14
201509,93.44
201508,94.81
201507,94.93
201506,97.77
201505,96.05
201504,93.05
201503,95.78
201502,99.5
201501,102.7
201412,101.8
201411,101.86
201410,102.66
201409,103.08
201408,102.28
201407,99.05
201406,96.22
201405,96.23
201404,94.98
201403,100.83
201402,104.17
201401,102.38
201312,98.22
201311,96.62
201310,98.75
201309,102.62
201308,107.45
201307,114.55
201306,116.29
201305,119.79
201304,123.34
201303,126.79
201302,130.43
201301,129.53
201212,130.07
201211,130.13
201210,135.68
201209,136.11
201208,134.93
201207,135.32
201206,139.42
201205,150.41
201204,149.93
201203,139.36
201202,135.78
201201,134.09
201112,137.31
201111,156.3
201110,159.15
201109,159.52
201108,156.51
201107,154.55
201106,152.24
201105,138.38
201104,129.26
201103,119.97
201102,123.78
201101,124.08
201012,121.2
201011,118.65
201010,112.51
201009,107.01
201008,98.77
201007,92.71
201006,89.01
201005,89.15
201004,93.54
201003,93.38
201002,92.91
201001,91.17
200912,87.1
200911,86.75
200910,86.94
200909,84.84
200908,86.74
200907,99.71
200906,103.28
200905,108.01
200904,113.28
200903,129.1
200902,131.8
200901,145.65
200812,150.08
200811,163.95
200810,215.83
200809,264.1
200808,272.26
200807,256.33
200806,232.17
200805,230.54
200804,205.23
200803,175.07
200802,137.37
200801,126.15
200712,113.61
200711,103.14
200710,94.98
200709,91.11
200708,83.81
200707,81.8
200706,84.45
200705,79.96
200704,75.36
200703,76.96
200702,72.64
200701,67.28
200612,64.99
200611,62.06
200610,58.65
200609,59.15
200608,58.93
200607,57.21
200606,57.73
200605,60.82
200604,63.77
200603,62.76
200602,58.38
200601,55.8
200512,58.38
200511,60.82
200510,59.78
200509,57.54
200508,57.02
200507,57.71
200506,58.45
200505,63.15
200504,61.44
200503,57.67
200502,52.65
200501,53.31
200412,52.52
200411,55.25
200410,59.08
200409,56.59
200408,53.43
200407,52.48
200406,46.3
200405,42.54
200404,41.5
200403,41.26
200402,41.01
200401,44.27
200312,44.74
200311,43.53
200310,42.96
200309,42.11
200308,41.46
200307,40.54
200306,39.62
200305,38.72
200304,36.93
200303,40.01
200302,38.77
200301,36.02
200212,33.91
200211,33.72
200210,32.91
200209,33.04
200208,34.43
200207,33.51
200206,32.9
200205,32.86
200204,32.06
200203,33.02
200202,34.12
200201,35.21
200112,35.32
200111,33.88
200110,33.54
200109,32.89
200108,32.79
200107,32.53
200106,31.93
200105,31.85
200104,32.55
200103,34.36
200102,35.45
200101,37.8
200012,35.04
200011,34.71
200010,37.35
200009,36.66
200008,40.28
200007,39.47
200006,37.06
200005,34.62
200004,33.04
200003,33.38
200002,34.38
200001,32.71
199912,31.13
199911,30.9
199910,31.19
199909,31.38
199908,31.78
199907,31.3
199906,31.7
199905,32.15
199904,31.97
199903,33.19
199902,31.87
199901,31.68
199812,32.04
199811,32.54
199810,32.69
199809,34.57
199808,35.21
199807,35.35
199806,34.99
199805,35.79
199804,36.5
199803,36.5
199802,35.14
199801,35.14
199712,36.3
199711,35.12
199710,34.9
199709,34.57
199708,36.14
199707,37.41
199706,38.59
199705,38.95
199704,40.81
199703,42.65
199702,43.94
199701,45.88
199612,47.01
199611,48.15
199610,47.01
199609,47.38
199608,48.72
199607,48.91
199606,48.64
199605,46.64
199604,45.21
199603,50.08
199602,50.1
199601,48.85
199512,50.53
199511,51.26
199510,49.68
199509,47.89
199508,45.67
199507,44.52
199506,43.31
199505,42.2
199504,45.72
199503,48.95
199502,50.04
199501,47.22
199412,44.96
199411,43.07
199410,40.52
199409,38.13
199408,35.94
199407,35.29
199406,34.86
199405,35.01
199404,34.08
199403,33.65
199402,32.02
199401,31.9
199312,31.55
199311,30.67
199310,29.14
199309,28.32
199308,28.32
199307,28.61
199306,28.49
199305,28.96
199304,29.27
199303,29.11
199302,30.13
199301,31.01
199212,32.93
199211,33.81
199210,34.67
199209,35.38
199208,36.34
199207,37.12
199206,36.82
199205,36.75
199204,36.52
199203,35.91
199202,35.98
199201,36.56
199112,36.92
199111,37.06
199110,37.91
199109,39.21
199108,39.17
199107,39.55
199106,39.32
199105,39.81
199104,41.11
199103,41.3
199102,42.33
199101,42.33
199012,41.44
199011,41.12
199010,39.81
199009,38.9
199008,36.62
199007,34.92
199006,34.15
199005,34.01
199004,34.1
199003,33.58
199002,33.94
199001,30.21
