"Time","Gold Fixing (Evening) International  - 
  - $/oz"
"20170124",1216.8000
"20170123",1212.8500
"20170120",1200.5500
"20170119",1196.0500
"20170118",1214.7500
"20170117",1216.0500
"20170116",1203.0000
"20170113",1190.3500
"20170112",1205.0500
"20170111",1178.5500
"20170110",1189.5000
"20170109",1178.5000
"20170106",1175.8500
"20170105",1176.7000
"20170104",1164.2500
"20170103",1151.0000
"20161229",1145.9000
"20161228",1134.6000
"20161222",1131.3500
"20161221",1133.6500
"20161220",1125.7000
"20161219",1136.2500
"20161216",1131.6000
"20161215",1126.9500
"20161214",1162.2500
"20161213",1158.5500
"20161212",1156.1000
"20161209",1163.6000
"20161208",1171.0500
"20161207",1177.6500
"20161206",1172.5000
"20161205",1162.2000
"20161202",1173.5000
"20161201",1161.8500
"20161130",1178.1000
"20161129",1186.5500
"20161128",1187.0000
"20161125",1187.7000
"20161124",1186.1000
"20161123",1185.3500
"20161122",1212.2500
"20161121",1214.2500
"20161118",1211.0000
"20161117",1226.7500
"20161116",1229.2000
"20161115",1226.9500
"20161114",1213.6000
"20161111",1236.4500
"20161110",1267.5000
"20161109",1281.4000
"20161108",1282.3500
"20161107",1283.0500
"20161104",1302.8000
"20161103",1301.0000
"20161102",1303.7500
"20161101",1288.4500
"20161031",1272.0000
"20161028",1273.0000
"20161027",1266.2500
"20161026",1270.5000
"20161025",1269.4000
"20161024",1265.5500
"20161021",1266.0500
"20161020",1271.6500
"20161019",1269.0500
"20161018",1258.2000
"20161017",1254.8000
"20161014",1251.7500
"20161013",1261.0500
"20161012",1256.5000
"20161011",1253.4500
"20161010",1259.5000
"20161007",1258.7500
"20161006",1254.5000
"20161005",1269.4000
"20161004",1283.3000
"20161003",1313.3000
"20160930",1322.5000
"20160929",1318.1000
"20160928",1322.5000
"20160927",1327.0000
"20160926",1340.5000
"20160923",1338.6500
"20160922",1339.1000
"20160921",1326.1000
"20160920",1313.8000
"20160919",1314.8500
"20160916",1308.3500
"20160915",1310.8000
"20160914",1321.7500
"20160913",1323.6500
"20160912",1324.6000
"20160909",1330.8500
"20160908",1343.4000
"20160907",1348.3500
"20160906",1337.2500
"20160905",1326.3500
"20160902",1324.7000
"20160901",1309.5000
"20160831",1309.2500
"20160830",1318.1500
"20160826",1318.7500
"20160825",1321.3000
"20160824",1327.2500
"20160823",1342.0000
"20160822",1335.9000
"20160819",1346.4000
"20160818",1350.0500
"20160817",1343.3500
"20160816",1344.0000
"20160815",1339.4000
"20160812",1352.2000
"20160811",1355.0000
"20160810",1347.7000
"20160809",1341.0000
"20160808",1336.8000
"20160805",1340.4000
"20160804",1362.7500
"20160803",1358.9000
"20160802",1363.7500
"20160801",1349.6500
"20160729",1342.0000
"20160728",1341.7500
"20160727",1329.0000
"20160726",1323.0000
"20160725",1313.1500
"20160722",1320.7500
"20160721",1321.1500
"20160720",1315.9000
"20160719",1330.9000
"20160718",1334.7000
"20160715",1327.0000
"20160714",1323.6000
"20160713",1342.7500
"20160712",1342.4000
"20160711",1357.1000
"20160708",1354.2500
"20160707",1356.7000
"20160706",1366.2500
"20160705",1350.7500
"20160704",1350.7500
"20160701",1340.0000
"20160630",1320.7500
"20160629",1321.5000
"20160628",1309.7000
"20160627",1324.5500
"20160624",1315.5000
"20160623",1262.1500
"20160622",1264.8500
"20160621",1272.6000
"20160620",1281.8000
"20160617",1290.7000
"20160616",1310.7500
"20160615",1283.3000
"20160614",1287.1500
"20160613",1280.8000
"20160610",1275.5000
"20160609",1263.9000
"20160608",1263.0000
"20160607",1241.0000
"20160606",1244.0000
"20160603",1240.5000
"20160602",1212.4000
"20160601",1214.5000
"20160531",1212.1000
"20160527",1216.2500
"20160526",1223.8500
"20160525",1220.6000
"20160524",1236.8500
"20160523",1245.9000
"20160520",1254.2000
"20160519",1246.2500
"20160518",1272.9000
"20160517",1277.0000
"20160516",1285.7500
"20160513",1265.9000
"20160512",1279.2500
"20160511",1276.8500
"20160510",1262.8000
"20160509",1265.2500
"20160506",1289.0000
"20160505",1280.2500
"20160504",1283.0000
"20160503",1294.0000
"20160429",1285.6500
"20160428",1256.0000
"20160427",1247.4000
"20160426",1241.7000
"20160425",1238.9000
"20160422",1243.2500
"20160421",1249.2500
"20160420",1252.0000
"20160419",1255.4000
"20160418",1234.3000
"20160415",1227.1000
"20160414",1233.8500
"20160413",1245.7500
"20160412",1254.6000
"20160411",1254.7500
"20160408",1239.5000
"20160407",1242.1000
"20160406",1221.4000
