Time,"Money Stock Measures M1 (Seas Adj) USA  - M1
  - $"
201612,3.3226E+12
201611,3.354E+12
201610,3.3406E+12
201609,3.3181E+12
201608,3.3125E+12
201607,3.2252E+12
201606,3.2311E+12
201605,3.2246E+12
201604,3.1768E+12
201603,3.1445E+12
201602,3.104E+12
201601,3.091E+12
201512,3.0797E+12
201511,3.0834E+12
201510,3.0318E+12
201509,3.0555E+12
201508,3.0412E+12
201507,3.0342E+12
201506,3.015E+12
201505,2.9886E+12
201504,2.9948E+12
201503,2.9907E+12
201502,2.9848E+12
201501,2.9307E+12
201412,2.9302E+12
201411,2.886E+12
201410,2.8749E+12
201409,2.8694E+12
201408,2.8075E+12
201407,2.8374E+12
201406,2.8222E+12
201405,2.7919E+12
201404,2.7722E+12
201403,2.7473E+12
201402,2.7142E+12
201401,2.6896E+12
201312,2.6603E+12
201311,2.625E+12
201310,2.6249E+12
201309,2.5867E+12
201308,2.5502E+12
201307,2.5413E+12
201306,2.5196E+12
201305,2.5222E+12
201304,2.5082E+12
201303,2.4733E+12
201302,2.4654E+12
201301,2.4697E+12
201212,2.4614E+12
201211,2.4265E+12
201210,2.4193E+12
201209,2.3882E+12
201208,2.3411E+12
201207,2.3104E+12
201206,2.2619E+12
201205,2.2498E+12
201204,2.2441E+12
201203,2.2271E+12
201202,2.2097E+12
201201,2.2053E+12
201112,2.1698E+12
201111,2.1749E+12
201110,2.1394E+12
201109,2.1286E+12
201108,2.1105E+12
201107,1.9978E+12
201106,1.9458E+12
201105,1.9327E+12
201104,1.898E+12
201103,1.8905E+12
201102,1.8739E+12
201101,1.8584E+12
201012,1.8425E+12
201011,1.8353E+12
201010,1.7787E+12
201009,1.7645E+12
201008,1.746E+12
201007,1.7192E+12
201006,1.7221E+12
201005,1.7061E+12
201004,1.6973E+12
201003,1.712E+12
201002,1.7021E+12
201001,1.68E+12
200912,1.6985E+12
200911,1.6891E+12
200910,1.6752E+12
200909,1.6617E+12
200908,1.6576E+12
200907,1.6564E+12
200906,1.6507E+12
200905,1.6143E+12
200904,1.6108E+12
200903,1.5793E+12
