"Time","Fear Index (VIX) USA  - Close
  - #","Fear Index (VIX) USA  - High
  - #","Fear Index (VIX) USA  - Low
  - #","Fear Index (VIX) USA  - Open
  - #"
"201701",11.77,14.07,10.94,14.07
"201612",14.04,14.72,10.93,13.40
"201611",13.33,23.01,12.16,16.54
"201610",17.06,17.95,12.21,13.75
"201609",13.29,20.51,11.65,13.07
"201608",13.42,14.93,11.02,11.89
"201607",11.87,17.04,11.40,15.59
"201606",15.63,26.72,12.72,14.45
"201605",14.19,17.65,13.04,16.33
"201604",15.70,17.09,12.50,15.23
"201603",13.95,20.17,13.06,19.84
"201602",20.55,30.90,18.38,21.32
"201601",20.20,32.09,19.25,22.48
"201512",18.21,26.81,14.45,15.61
"201511",16.13,20.67,13.67,15.41
"201510",15.07,25.23,12.80,23.14
"201509",24.50,33.82,17.87,31.91
"201508",28.43,40.74,10.88,12.85
"201507",12.12,20.05,11.71,16.63
"201506",18.23,19.80,11.93,13.92
"201505",13.84,16.36,11.82,13.98
"201504",14.55,16.66,12.12,15.32
"201503",15.29,17.19,12.54,13.90
"201502",13.34,22.81,12.86,20.89
"201501",20.97,23.43,15.52,17.76
"201412",19.20,25.20,11.53,14.16
"201411",13.33,15.93,11.91,14.41
"201410",14.03,31.06,13.72,16.44
"201409",16.31,17.08,11.52,12.32
"201408",12.09,17.57,11.24,16.67
"201407",16.95,17.11,10.28,11.28
"201406",11.57,12.89,10.34,11.69
"201405",11.40,14.49,11.32,13.64
"201404",13.41,17.85,12.60,13.43
"201403",13.88,18.22,13.46,16.47
"201402",14.00,21.48,13.44,18.57
"201401",18.41,18.99,11.81,14.32
"201312",13.72,16.75,11.69,13.91
"201311",13.70,14.14,11.99,13.46
"201310",13.75,21.34,12.34,16.31
"201309",16.60,17.49,12.52,16.47
"201308",17.01,17.81,11.83,12.89
"201307",13.45,17.32,12.07,16.90
"201306",16.86,21.91,14.96,16.40
"201305",16.30,16.35,12.26,13.88
"201304",13.52,18.20,11.99,13.46
"201303",12.70,16.82,11.05,16.10
"201302",15.51,19.28,12.08,13.37
"201301",14.38,15.93,12.29,15.24
"201212",18.02,22.72,15.41,15.81
"201211",15.87,19.40,14.77,17.77
"201210",18.60,19.65,13.67,16.03
"201209",15.73,18.96,13.51,18.65
"201208",17.47,19.25,13.30,18.80
"201207",18.93,21.00,15.45,17.62
"201206",17.08,27.73,16.77,25.87
"201205",24.06,25.46,16.01,17.27
"201204",17.15,21.06,15.02,16.35
"201203",15.50,21.24,13.66,18.02
"201202",18.43,21.98,16.10,18.68
"201201",19.44,23.73,16.80,22.95
"201112",23.40,30.91,20.34,27.63
"201111",27.80,37.53,27.03,36.03
"201110",29.96,46.88,24.44,44.25
"201109",42.96,43.87,30.43,31.91
"201108",31.62,48.00,22.46,22.63
"201107",25.25,25.94,15.12,16.06
"201106",16.52,24.65,15.88,15.95
"201105",15.45,20.03,15.07,15.07
"201104",14.75,19.07,14.27,16.68
"201103",17.74,31.28,17.07,17.63
"201102",18.35,23.22,14.86,18.59
"201101",19.53,20.08,15.37,17.94
"201012",17.75,21.43,15.40,21.19
"201011",23.54,23.84,17.76,21.65
"201010",21.20,24.34,17.90,22.90
"201009",23.70,25.13,20.85,25.13
"201008",26.05,28.92,21.36,23.07
"201007",23.50,37.58,21.86,34.41
"201006",34.54,37.38,22.87,34.87
"201005",32.07,48.20,19.61,22.41
"201004",22.05,23.20,15.23,17.01
"201003",17.59,19.94,16.17,19.93
"201002",19.50,29.22,19.32,24.33
"201001",24.62,28.01,16.86,21.68
"200912",21.68,24.51,19.25,24.51
"200911",24.51,31.84,20.05,30.70
"200910",30.69,31.59,20.10,25.98
"200909",25.61,29.57,22.19,26.01
"200908",26.01,28.39,22.58,25.92
"200907",25.92,33.05,23.00,25.73
